"","points","points_last","avg_age","club_transfer_ratio","manager_change","star_players","played_internationally","squad_size","foreigners","promotion"
"307",43,58,25,1.77406679764244,0,0,1,30,0.633333333333333,0
"308",58,44,25.6,3.8,1,0,0,25,0.52,0
"309",44,56,24.7,2.38721983786361,1,0,1,31,0.483870967741935,0
"310",56,69,23.5,0,0,0,1,31,0.387096774193548,0
"311",69,71,23.4,3.04037267080745,0,0,1,33,0.515151515151515,0
"312",71,51,23.9,1.19068736141907,0,0,0,30,0.633333333333333,0
"313",51,52,23.4,1.30180313331363,0,0,0,37,0.675675675675676,0
"314",52,46,25.1,2.46356164383562,1,0,1,35,0.685714285714286,0
"315",46,44,24.6,3.57034027425089,1,0,0,34,0.617647058823529,0
"316",44,68,24.1,3.00842992623815,0,0,1,39,0.512820512820513,0
"317",68,78,25.7,4.34883720930233,1,1,1,22,0.318181818181818,0
"318",78,72,25.3,2.47831325301205,0,0,0,24,0.375,0
"319",72,77,25,2.17687074829932,0,0,1,24,0.333333333333333,0
"320",77,0,25.4,2.13965087281796,0,0,0,28,0.321428571428571,1
"321",34,0,25.6,0.859086078639745,0,0,0,41,0.536585365853659,1
"322",33,44,26.2,0.936045446215869,1,0,0,29,0.586206896551724,0
"323",44,47,25.3,0.367538041357784,1,0,0,34,0.470588235294118,0
"324",47,0,24.5,0.74589928057554,0,0,0,29,0.413793103448276,1
"325",33,0,26,0.691463996185026,0,0,0,27,0.444444444444444,1
"326",43,53,24.3,0.47424684159378,0,0,0,27,0.37037037037037,0
"327",53,72,24.7,0.264837905236908,1,0,1,23,0.347826086956522,0
"328",72,0,24.8,0.384615384615385,1,0,0,21,0.428571428571429,0
"329",30,0,25.7,0.734382935500254,1,0,0,38,0.605263157894737,1
"330",34,58,24.9,1.47227191413238,0,0,0,33,0.393939393939394,0
"331",58,77,24.9,0.393975903614458,1,0,1,28,0.357142857142857,0
"332",77,0,24.8,1.10787172011662,0,0,0,24,0.375,1
"333",40,0,23.8,0.542986425339366,0,0,0,25,0.32,0
"334",40,49,25.7,0.265835411471322,0,0,0,26,0.230769230769231,0
"335",49,0,24.7,0.904977375565611,0,0,0,25,0.16,0
"336",19,41,25.4,0.506772009029345,0,0,0,45,0.644444444444444,0
"337",41,57,26.8,0.960721442885772,1,0,1,31,0.612903225806452,0
"338",57,54,25.4,1.37670660351073,1,0,0,28,0.678571428571429,0
"339",54,38,26.4,0.506876227897839,0,0,0,26,0.615384615384615,0
"340",38,39,26.1,1.02189781021898,0,0,0,35,0.8,0
"341",39,45,25.2,0.596089651883643,1,0,0,33,0.636363636363636,0
"342",45,0,25.8,1.16192687173535,1,0,0,37,0.702702702702703,1
"343",30,0,25.1,1.02283737024221,1,0,0,41,0.585365853658537,1
"344",25,37,28.1,1.66991806476785,0,0,0,33,0.545454545454545,0
"345",37,0,27,1.28287769784173,1,0,0,46,0.5,1
"346",33,60,24.8,0.540963855421687,0,0,0,28,0.321428571428571,0
"347",60,60,25.8,0.0594752186588921,0,0,0,24,0.291666666666667,0
"348",60,63,25.2,0.347630922693267,1,0,0,24,0.25,0
"349",63,0,25.3,0.0484162895927602,0,0,0,24,0.25,0
"350",28,0,25.6,0.358954350370659,1,0,0,31,0.709677419354839,1
"351",36,55,23.9,0.286709389802173,0,0,0,43,0.697674418604651,0
"352",55,0,24,0.513425016371971,0,0,0,34,0.676470588235294,1
"353",38,0,25.1,1.00327439423707,0,0,0,36,0.5,1
"354",42,52,25.6,0.432418952618454,0,0,0,28,0.285714285714286,0
"355",52,0,24.8,0.138461538461538,0,0,0,27,0.222222222222222,0
"356",31,46,25.5,0.764931506849315,1,0,0,32,0.53125,0
"357",46,44,25,0.398171660741493,1,0,0,31,0.548387096774194,0
"358",44,57,25.8,0.80927291886196,0,0,0,37,0.513513513513513,0
"359",57,40,26.1,0.826475849731664,1,0,0,24,0.333333333333333,0
"360",40,51,26,1.30602409638554,1,0,0,29,0.379310344827586,0
"361",51,64,25.7,0.736637512147716,0,0,0,25,0.24,0
"362",64,59,25.5,3.1072319201995,0,0,0,28,0.178571428571429,0
"363",59,0,25.7,1.23076923076923,0,0,1,28,0.214285714285714,0
"364",63,60,24.1,1.00446333687566,0,0,0,35,0.542857142857143,0
"365",60,56,23.5,2.25965397923875,1,0,0,37,0.540540540540541,0
"366",56,41,23.9,1.23364485981308,0,0,0,31,0.516129032258065,0
"367",41,0,24.3,1.37651190011705,1,0,0,37,0.432432432432432,1
